iter	Passed	Remaining
573	2314	1717
574	2317	1712
575	2321	1708
576	2325	1704
577	2328	1699
578	2330	1694
579	2334	1690
580	2339	1686
581	2342	1682
582	2344	1677
583	2347	1672
584	2354	1669
585	2357	1665
586	2360	1660
587	2362	1655
588	2368	1652
589	2371	1647
590	2373	1642
591	2376	1637
592	2379	1633
593	2382	1628
594	2385	1623
595	2388	1618
596	2391	1614
597	2394	1609
598	2397	1605
599	2400	1600
600	2403	1595
601	2406	1590
602	2409	1586
603	2413	1582
604	2416	1577
605	2418	1572
606	2421	1567
607	2424	1563
608	2427	1558
609	2431	1554
610	2433	1549
611	2436	1544
612	2444	1543
613	2447	1538
614	2450	1534
615	2454	1529
616	2458	1525
617	2461	1521
618	2463	1516
619	2466	1511
620	2469	1507
621	2472	1502
622	2475	1498
623	2478	1493
624	2481	1488
625	2484	1484
626	2487	1479
627	2489	1474
628	2492	1470
629	2495	1465
630	2498	1461
631	2503	1457
632	2505	1452
633	2508	1448
634	2511	1443
635	2514	1439
636	2517	1434
637	2520	1429
638	2523	1425
639	2526	1420
640	2529	1416
641	2532	1411
642	2535	1407
643	2538	1403
644	2541	1398
645	2545	1394
646	2548	1390
647	2550	1385
648	2553	1380
649	2556	1376
650	2559	1372
651	2562	1367
652	2564	1362
653	2567	1358
654	2570	1353
655	2573	1349
656	2576	1344
657	2578	1340
658	2581	1335
659	2584	1331
660	2588	1327
661	2594	1324
662	2600	1321
663	2604	1317
664	2606	1313
665	2609	1308
666	2612	1304
667	2614	1299
668	2617	1295
669	2620	1290
670	2623	1286
671	2626	1281
672	2629	1277
673	2632	1273
674	2637	1269
675	2640	1265
676	2643	1261
677	2646	1256
678	2651	1253
679	2653	1248
680	2656	1244
681	2659	1240
682	2663	1236
683	2666	1231
684	2669	1227
685	2672	1223
686	2674	1218
687	2679	1215
688	2682	1210
689	2685	1206
690	2688	1202
691	2691	1197
692	2693	1193
693	2696	1189
694	2699	1184
695	2702	1180
696	2705	1175
697	2707	1171
698	2710	1167
699	2713	1162
700	2716	1158
701	2718	1154
702	2722	1150
703	2725	1146
704	2728	1141
705	2731	1137
706	2734	1133
707	2737	1129
708	2740	1124
709	2743	1120
710	2746	1116
711	2749	1112
712	2752	1107
713	2754	1103
714	2757	1099
715	2760	1094
716	2762	1090
717	2766	1086
718	2770	1082
719	2773	1078
720	2776	1074
721	2779	1070
722	2782	1066
723	2785	1061
724	2787	1057
725	2790	1053
726	2793	1049
727	2797	1045
728	2800	1040
729	2803	1036
730	2805	1032
731	2808	1028
732	2813	1024
733	2816	1020
734	2819	1016
735	2822	1012
736	2825	1008
737	2832	1005
738	2835	1001
739	2838	997
740	2841	993
741	2844	989
742	2847	984
743	2850	980
744	2852	976
745	2857	972
746	2861	969
747	2864	964
748	2866	960
749	2869	956
750	2873	952
751	2876	948
752	2878	944
753	2881	940
754	2884	935
755	2888	932
756	2891	928
757	2893	923
758	2896	919
759	2899	915
760	2904	912
761	2907	908
762	2910	904
763	2913	899
764	2916	895
765	2918	891
766	2921	887
767	2924	883
768	2927	879
769	2931	875
770	2934	871
771	2937	867
772	2940	863
773	2942	859
774	2947	855
775	2952	852
776	2955	848
777	2957	844
778	2962	840
779	2965	836
780	2968	832
781	2971	828
782	2974	824
783	2977	820
784	2980	816
785	2983	812
786	2986	808
787	2990	804
788	2993	800
789	2996	796
790	2999	792
791	3001	788
792	3004	784
793	3008	780
794	3010	776
795	3013	772
796	3016	768
797	3019	764
798	3022	760
799	3025	756
800	3028	752
801	3031	748
802	3036	745
803	3040	741
804	3043	737
805	3045	733
806	3048	729
807	3051	725
808	3054	721
809	3057	717
810	3059	713
811	3062	709
812	3065	705
813	3068	701
814	3071	697
815	3073	693
816	3076	689
817	3081	685
818	3084	681
819	3086	677
820	3089	673
821	3092	669
822	3095	665
823	3098	661
824	3101	657
825	3103	653
826	3106	649
827	3109	646
828	3112	642
829	3115	638
830	3118	634
831	3120	630
832	3124	626
833	3128	622
834	3131	618
835	3133	614
836	3136	610
837	3139	606
838	3142	603
839	3145	599
840	3148	595
841	3151	591
842	3154	587
843	3157	583
844	3160	579
845	3163	575
846	3166	572
847	3176	569
848	3178	565
849	3181	561
850	3184	557
851	3187	553
852	3190	549
853	3193	545
854	3196	542
855	3199	538
856	3202	534
857	3205	530
858	3208	526
859	3211	522
860	3219	519
861	3223	516
862	3226	512
863	3230	508
864	3233	504
865	3235	500
866	3239	496
867	3243	493
868	3246	489
869	3249	485
870	3253	481
871	3256	477
872	3260	474
873	3263	470
874	3266	466
875	3269	462
876	3272	458
877	3276	455
878	3281	451
879	3285	447
880	3288	444
881	3291	440
882	3293	436
883	3296	432
884	3299	428
885	3302	424
886	3307	421
887	3310	417
888	3313	413
889	3316	409
890	3320	406
891	3324	402
892	3328	398
893	3333	395
894	3338	391
895	3342	387
896	3345	384
897	3348	380
898	3352	376
899	3355	372
900	3358	369
901	3361	365
902	3365	361
903	3368	357
904	3370	353
905	3373	350
906	3376	346
907	3379	342
908	3382	338
909	3384	334
910	3387	330
911	3390	327
912	3394	323
913	3398	319
914	3401	315
915	3404	312
916	3407	308
917	3410	304
918	3413	300
919	3417	297
920	3420	293
921	3423	289
922	3426	285
923	3429	282
924	3432	278
925	3435	274
926	3439	270
927	3442	267
928	3445	263
929	3448	259
930	3450	255
931	3453	251
932	3456	248
933	3459	244
934	3462	240
935	3465	236
936	3468	233
937	3471	229
938	3474	225
939	3477	221
940	3480	218
941	3485	214
942	3488	210
943	3491	207
944	3494	203
945	3499	199
946	3502	196
947	3504	192
948	3508	188
949	3511	184
950	3513	181
951	3516	177
952	3519	173
953	3522	169
954	3525	166
955	3530	162
956	3535	158
957	3538	155
958	3543	151
959	3546	147
960	3549	144
961	3552	140
962	3555	136
963	3558	132
964	3561	129
965	3564	125
966	3567	121
967	3570	118
968	3574	114
969	3577	110
970	3580	106
971	3583	103
972	3586	99
973	3589	95
974	3592	92
975	3594	88
976	3597	84
977	3600	80
978	3603	77
979	3606	73
980	3609	69
981	3612	66
982	3621	62
983	3626	58
984	3630	55
985	3633	51
986	3636	47
987	3639	44
988	3642	40
989	3645	36
990	3649	33
991	3652	29
992	3655	25
993	3658	22
994	3661	18
995	3665	14
996	3668	11
997	3671	7
998	3674	3
999	3677	0
